,Ail blanc,Ail rose,Ail violet,Artichaut,Aubergine,Betterave,Blette,Carotte,Celeri branche,Celeri rave,Chayotte,Chou brocoli,Chou cabus,Chou de Bruxelles,Chou de Milan,Chou fleur,Chou kale,Chou rave,Chou romanesco,Chou rouge,Concombre,Concombre,Courge,Courgette,Echalote,Endive,Epinard,Fenouil,Feve,Haricot,Haricot a ecosser,Laitue,Mache,Mais doux,Melon,Mesclun,Navet,Oignon,Pasteque,Patate douce,Petit pois lisse,Petit pois ride,Petsai & Pakchoi,Piments,Poivrons,Poireaux,Pois mangetout,Pommes de terre,Radis d'hiver,Radis rouge,Roquette,Scarole,Tomate,Topinambour,Tournesol,Basilic,Ciboulette,Menthe,Persil,Cassis,Fraises,Framboisier,Groseiller,Myrtillier,Ronces,Rhubarbe,& +20 espèces
Ail,,,,,,2,,3,1,1,,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,,,,-1,,,-1,-2,-3,-3,2,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Aubergine,,,,,,,,1,,,,,,,,,,,,,,,,,,,,-1,,2,2,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Betterave,2,2,2,,,,,,2,2,,3,3,3,3,3,3,3,3,3,,,,,1,,-3,-1,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carotte,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Céleri,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicorée frisée,,,,,,,,,1,1,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicorée sauvage,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,-2,-2,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choux,,,,,,,,,-2,-2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concombre,,,,,,,,,,,,,,,,,,,,,,,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courges,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-2,-2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courgette,,,,,,2,,,,,,,,,,,,,,,,,-1,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,
Cresson,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echalotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinard,,,,,,,,-2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenouil,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fève,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haricot,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâche,,,,,,,,,,,,-2,-2,-2,-2,-2,-2,-2,-2,-2,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maïs,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melon,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomate,2,2,2,,-2,-3,,2,3,3,,2,2,2,2,2,2,2,2,2,,,-1,-2,1,,,,,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
& +20 espèces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
